Function Name,Self (ms),Duration (ms),Location
update,0.477,1.129,../core/src/auth.ts:255:9
all,0.470,9.682,../core/src/search.ts:420:8
has,0.457,0.677,src/router/auth.ts:71:17
decode,0.454,3.160,../core/src/db.ts:26:7
mysqlEnum,0.449,0.449,../core/src/schema.ts:276:26
mutation,0.449,5.864,src/router/server.ts:125:13
string,0.448,11.286,../env/src/shared.ts:11:25
createTRPCProxyClient,0.448,7.763,src/bot/caller.ts:5:59
context,0.434,678.098,src/router/trpc.ts:11:10
"Identifier: ""fbclid""",0.433,0.436,../core/src/analytics.events.ts:6855:14
object,0.428,8.724,../core/src/search.ts:140:35
protectedFetch,0.424,14.105,src/router/channel.ts:108:12
query,0.424,4.107,src/router/messages.ts:50:10
findServerById,0.424,3.580,../core/src/server.ts:93:19
protectedFetch,0.420,12.096,src/router/dashboard.ts:186:12
createContextInner,0.409,5.183,src/router/context.ts:52:35
filter,0.408,3.022,src/router/auth.ts:30:25
query,0.407,10.906,src/router/discord-accounts.ts:42:10
use,0.399,0.723,src/bot/index.ts:21:51
query,0.394,12.973,src/router/channel.ts:110:18
map,0.391,2.698,../core/src/user-server-settings.ts:172:8
findMany,0.390,0.879,../core/src/message.ts:303:15
identify,0.390,0.390,../core/src/analytics.ts:211:37
object,0.378,23.419,../core/src/zodSchemas/serverSchemas.ts:37:39
all,0.370,39.410,../core/src/pages.ts:247:60
router,0.366,100.088,src/router/index.ts:16:12
upsertUserServerSettingsWithDeps,0.365,11.426,src/router/user-server-settings.ts:112:12
router,0.365,187.065,src/router/user-server-settings.ts:78:45
addFlagsToServer,0.361,54.521,../core/src/pages.ts:370:34
assertIsOnPlan,0.360,0.658,src/router/server.ts:187:17
mysqlEnum,0.353,1.630,../core/src/schema.ts:276:8
omit,0.347,129.043,../core/src/zodSchemas/channelSchemas.ts:107:10
many,0.345,13.675,../core/src/schema.ts:58:17
createEnv,0.344,0.344,../env/src/shared.ts:107:21
one,0.344,0.674,../core/src/schema.ts:97:20
notNull,0.343,20.429,../core/src/schema.ts:38:13
findFirst,0.341,6.306,../core/src/server.ts:124:15
protectedFetch,0.339,5.706,src/router/dashboard.ts:85:22
findFirst,0.335,4.520,../core/src/pages.ts:38:13
object,0.333,104.579,../core/src/zodSchemas/userServerSettingsSchemas.ts:39:59
pipe,0.332,12.059,../env/src/shared.ts:59:13
execute,0.331,0.635,../core/src/user-server-settings.ts:273:7
one,0.330,0.330,../core/src/schema.ts:98:10
string,0.328,11.010,../env/src/shared.ts:77:13
createInsertSchema,0.328,17.856,../core/src/schema.ts:197:36
pipe,0.325,57.462,../env/src/shared.ts:87:13
mutateUserServerSettings,0.323,4.140,src/router/user-server-settings.ts:178:36
getPageViewsForServer,0.322,58.287,src/router/dashboard.ts:28:12
protectedFetch,0.320,11.499,src/router/dashboard.ts:190:27
addFlagsToServer,0.320,0.320,../core/src/pages.ts:84:36
relations,0.319,30.628,../core/src/schema.ts:350:55
object,0.315,4.419,../core/src/zodSchemas/channelSchemas.ts:76:40
object,0.308,10.329,../core/src/zodSchemas/channelSchemas.ts:76:13
input,0.307,41.391,src/router/server.ts:73:7
query,0.306,62.876,src/router/messages.ts:37:10
omit,0.303,104.246,../core/src/zodSchemas/userServerSettingsSchemas.ts:40:5
then,0.301,16.457,../core/src/message.ts:244:17
"Identifier: ""$active_feature_flags""",0.300,0.372,../core/src/analytics.events.ts:10998:14
query,0.299,12.579,src/router/channel.ts:110:18
use,0.299,5.728,src/bot/index.ts:21:13
join,0.298,0.298,src/utils/permissions.ts:138:9
inArray,0.296,0.296,../core/src/channel.ts:154:10
bulk,0.294,6.296,../core/src/search.ts:370:8
Identifier: { access_token?: string |,0.293,0.293,../core/src/auth.ts:34:7
update,0.293,0.560,../core/src/auth.ts:255:9
mutation,0.290,8.770,src/bot/index.ts:96:10
query,0.290,13.220,src/bot/index.ts:37:10
update,0.289,8.719,../core/src/channel.ts:274:8
object,0.286,30.952,../core/src/zodSchemas/serverSchemas.ts:37:13
omit,0.285,42.559,../core/src/zodSchemas/userServerSettingsSchemas.ts:40:5
findMany,0.283,15.508,../core/src/message.ts:278:8
applyServerSettingsSideEffects,0.281,3.834,../core/src/server.ts:59:28
Identifier: { server: { name: string;,0.279,62.306,../core/src/pages.ts:394:47
extend,0.277,39.525,../core/src/zodSchemas/channelSchemas.ts:95:13
map,0.274,9.698,../core/src/message.ts:133:8
object,0.274,29.556,../core/src/search.ts:154:13
object,0.270,6.933,../core/src/auth.ts:600:50
relations,0.269,4.079,../core/src/schema.ts:233:23
relations,0.267,7.478,../core/src/schema.ts:534:54
mutation,0.265,14.211,src/router/user-server-settings.ts:96:13
Identifier: { name: string; type: num,0.264,62.570,../core/src/pages.ts:402:8
protectedMutation,0.261,3.678,src/router/user-server-settings.ts:181:60
findFirst,0.260,4.780,../core/src/pages.ts:38:7
limit,0.257,5.920,../core/src/channel.ts:351:7
extend,0.257,9.580,../core/src/zodSchemas/discordAccountSchemas.ts:27:13
findMany,0.255,4.963,../core/src/server.ts:75:7
Identifier: { [x: string]: boolean; },0.254,5.593,../core/src/utils/bitfieldUtils.ts:58:7
map,0.254,7.328,../core/src/discord-account.ts:49:7
inArray,0.254,0.254,../core/src/message.ts:456:37
protectedFetch,0.253,16.143,src/router/dashboard.ts:109:19
execute,0.253,0.305,../core/src/user-server-settings.ts:273:19
protectedFetch,0.251,58.611,src/router/dashboard.ts:26:38
addFlagsToServer,0.250,54.160,../core/src/pages.ts:370:51
object,0.249,28.901,../core/src/zodSchemas/channelSchemas.ts:99:13
many,0.249,10.804,../core/src/schema.ts:363:17
object,0.249,36.693,../core/src/zodSchemas/serverSchemas.ts:47:13
relations,0.249,17.159,../core/src/schema.ts:96:54
findMessageByIdWithDiscordAccount,0.248,24.748,../core/src/pages.ts:255:13
relations,0.247,18.960,../core/src/schema.ts:306:53
findFirst,0.242,3.936,../core/src/server.ts:126:8
relations,0.242,38.761,../core/src/schema.ts:57:65
all,0.242,53.355,../core/src/pages.ts:247:41
pick,0.241,11.706,../core/src/zodSchemas/serverSchemas.ts:32:13
toString,0.240,9.631,../core/src/schema.ts:26:6
getPosthogQueryClientForDashboard,0.240,55.442,../core/src/analytics.ts:136:9
upsertMany,0.237,31.696,../core/src/channel.ts:324:20
protectedMutationFetchFirst,0.235,1.114,src/router/server.ts:126:32
input,0.233,173.634,src/router/user-server-settings.ts:124:22
relations,0.232,16.886,../core/src/schema.ts:96:69
parse,0.227,7.892,../core/src/pages.ts:217:10
findMany,0.226,3.823,../core/src/message.ts:532:18
input,0.225,12.832,src/router/user-server-settings.ts:157:20
mysqlTable,0.222,0.997,../core/src/schema.ts:187:4
many,0.221,11.458,../core/src/schema.ts:308:17
object,0.221,9.805,../core/src/search.ts:140:6
has,0.220,0.220,src/router/auth.ts:71:17
map,0.220,0.340,../core/src/message.ts:620:8
addFlagsToServer,0.218,11.213,../core/src/server.ts:181:8
query,0.216,59.491,src/router/dashboard.ts:33:10
