Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
Identifier: { schedule: number | null,11.438,1.634,7,../../../packages/lib/event-types/getEventTypeById.ts:240:19,8.471
Identifier: Omit<{ location: string |,11.377,3.792,3,../../../packages/features/bookings/lib/get-booking.ts:274:9,10.857
enrichFormWithMigrationData,11.370,2.842,4,../../../packages/app-store/routing-forms/trpc/getResponseWithFormFields.handler.ts:93:44,5.158
Identifier: { bookingFields: { name: ,11.250,0.592,19,../../../packages/features/bookings/lib/handleNewBooking.ts:966:30,1.516
handleResponse,11.129,11.129,1,../../../packages/trpc/server/routers/viewer/routing-forms/response.handler.ts:46:9,11.129
back,11.107,3.702,3,../../../packages/features/shell/SideBar.tsx:69:7,5.225
getPlaceholderAvatar,10.992,1.570,7,../../../packages/features/ee/teams/components/TeamListItem.tsx:97:21,2.573
getUserAvailability,10.953,1.217,9,../../../packages/trpc/server/routers/viewer/teams/getMemberAvailability.handler.ts:32:16,8.558
digest,10.866,10.866,1,../../../packages/trpc/server/routers/loggedInViewer/me.handler.ts:97:9,10.866
setIsOpen,10.686,10.686,1,../../../packages/platform/atoms/availability/AvailabilitySettings.tsx:344:12,10.686
"Identifier: ({ clientId, accessToken,",10.654,10.654,1,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:130:7,10.654
getUsersFromEvent,10.540,2.635,4,../../../packages/features/eventtypes/lib/getPublicEvent.ts:406:11,9.410
Identifier: { hidden?: boolean | unde,10.532,5.266,2,../../../packages/lib/server/repository/eventType.ts:85:11,9.975
Identifier: BookerLayout,10.511,1.752,6,../../../packages/features/bookings/Booker/Booker.tsx:377:18,4.314
Identifier: { identity_provider: stri,10.368,10.368,1,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:22:47,10.368
transform,10.215,1.021,10,../../../packages/features/filters/lib/getTeamsFiltersFromQuery.ts:19:6,4.403
useBookerStore,10.195,0.784,13,../../../packages/features/bookings/Booker/Booker.tsx:100:48,5.820
getBookingWithResponses,10.084,5.042,2,../../../packages/features/bookings/lib/get-booking.ts:83:18,9.959
createUsersAndConnectToOrg,10.080,5.040,2,../../../packages/features/ee/sso/lib/sso.ts:52:10,9.815
findByIdIncludeHostsAndTeam,9.869,4.934,2,../../../packages/trpc/server/routers/viewer/routing-forms/findTeamMembersMatchingAttributeLogicOfRoute.handler.ts:177:26,9.757
getCRMManagerWithRRLeadSkip,9.718,9.718,1,../../../packages/app-store/_utils/CRMRoundRobinSkip.ts:18:8,9.718
