Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
"Identifier: typeof import(""/home/ssal",0.177,0.088,2,../../node_modules/.pnpm/@radix-ui+react-menubar@1.0.4_@types+react-dom@18.2.7_@types+react@18.2.78_react-dom@18.2.0_react@18.2.0__react@18.2.0/node_modules/@radix-ui/react-menubar/dist/index.d.ts:84:65,0.091
Identifier: MonitorProvider,0.174,0.174,1,components/monitor/provider/dns.tsx:87:13,0.174
test,0.174,0.087,2,utils/health.spec.ts:7:47,0.138
Identifier: OptionFC,0.169,0.169,1,../../node_modules/.pnpm/antd@5.13.1_date-fns@3.6.0_moment@2.30.1_react-dom@18.2.0_react@18.2.0__react@18.2.0/node_modules/antd/es/select/index.d.ts:53:19,0.169
Identifier: FilterDateOperator,0.169,0.169,1,../server/model/website/insights.ts:186:10,0.169
refetchStats,0.166,0.083,2,components/website/WebsiteOverview.tsx:78:42,0.099
useState,0.160,0.053,3,components/layout/Menu.tsx:13:26,0.150
Identifier: boolean,0.151,0.075,2,routes/register.tsx:47:43,0.088
Identifier: BaseQueryFilters,0.150,0.150,1,../server/model/survey.ts:14:8,0.150
Identifier: Options,0.142,0.142,1,../server/model/notification/provider/smtp.ts:32:48,0.142
useDataReady,0.122,0.122,1,routes/telemetry.tsx:48:27,0.122
Identifier: { websiteId: string; star,0.117,0.058,2,../server/model/website/index.ts:350:17,0.090
Identifier: DateConstructor,0.115,0.115,1,../server/utils/common.ts:196:22,0.115
formatNumber,0.099,0.099,1,components/insights/TableView.tsx:56:19,0.099
authUser,0.092,0.092,1,../server/model/auth.ts:44:27,0.092
useNavigate,0.086,0.043,2,routes/page/$slug.tsx:26:8,0.073
Identifier: typeof PureComponent,0.085,0.085,1,../../node_modules/.pnpm/recharts@2.12.7_react-dom@18.2.0_react@18.2.0__react@18.2.0/node_modules/recharts/types/component/Tooltip.d.ts:29:87,0.085
setTimeout,0.079,0.079,1,routes/settings/billing.tsx:57:16,0.079
useTranslation,0.073,0.036,2,components/website/WebsiteVisitorMap/VisitorLeafletMap.tsx:15:16,0.055
Identifier: { readonly string: 1; rea,0.072,0.072,1,../server/utils/types.ts:4:50,0.072
Identifier: FC<{ monitorId: string; },0.067,0.067,1,components/monitor/MonitorDataChart.tsx:197:3,0.067
Identifier: { path: `/workspace/{work,0.065,0.065,1,../server/trpc/routers/feed/index.ts:467:9,0.065
Identifier: string | ParsedQs | (stri,0.051,0.051,1,../server/model/telemetry.ts:16:8,0.051
useResizeObserver,0.041,0.041,1,components/HealthBar.tsx:19:40,0.041
Identifier: typeof Tooltip,0.038,0.038,1,components/ui/chart.tsx:106:6,0.038
Identifier: FC<CommonWrapperProps>,0.031,0.031,1,routes/settings/workspace.tsx:343:7,0.031
parseWebsiteFilters,0.004,0.004,1,../server/model/website/index.ts:331:53,0.004
