Function Name,Self (ms),Duration (ms),Location
hkdf,4.877,4.877,src/auth/legacy/helpers/jwt.ts:27:15
FirstBinaryOperator: any,4.875,4.875,../../packages/emails/src/templates/new-poll.tsx:50:15
mutate,4.868,4.868,src/components/poll/manage-poll.tsx:69:13
use,4.866,10.649,src/trpc/routers/user.ts:161:22
useQuery,4.859,7.361,src/components/poll/notifications-toggle.tsx:17:53
Identifier: any,4.853,4.994,src/components/user-dropdown.tsx:71:11
t,4.808,4.808,src/app/[locale]/not-found.tsx:17:11
startsWith,4.808,4.808,src/app/[locale]/(admin)/sidebar.tsx:65:11
create,4.795,5.057,src/trpc/routers/polls.ts:847:14
Boolean,4.789,4.789,src/components/poll/desktop-poll.tsx:141:9
map,4.783,4.783,src/app/[locale]/(admin)/events/event-list.tsx:22:7
error,4.768,4.877,src/auth/edge/with-auth.ts:17:9
Identifier: any,4.759,4.759,src/app/[locale]/new/page.tsx:12:11
forEach,4.755,5.469,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:66:21
test,4.634,5.944,tests/house-keeping.spec.ts:212:96
Identifier: Devices,4.614,6.495,playwright.config.ts:17:38
map,4.605,4.605,src/components/forms/poll-options-form/month-calendar/time-picker.tsx:75:17
t,4.590,4.590,src/app/[locale]/not-found.tsx:12:11
Identifier: Omit<DetailedHTMLProps<Ta,4.582,4.582,../../packages/emails/src/components/styled-components.tsx:142:13
t,4.550,4.550,src/app/[locale]/quick-create/page.tsx:19:11
FirstBinaryOperator: any,4.537,4.537,src/components/event-card.tsx:57:27
Identifier: any,4.523,4.523,src/app/[locale]/(admin)/sidebar.tsx:163:11
setValue,4.523,4.523,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:214:11
FirstBinaryOperator: any,4.514,4.514,src/app/[locale]/(admin)/settings/profile/profile-page.tsx:73:13
capture,4.511,4.511,src/app/[locale]/(admin)/sidebar.tsx:106:11
forwardRef,4.506,4.506,../../packages/ui/src/command.tsx:15:38
t,4.492,4.492,src/app/[locale]/(auth)/register/components/register-name-form.tsx:71:9
format,4.478,4.478,src/components/poll/scheduled-event.tsx:33:7
map,4.474,9.568,src/components/forms/poll-options-form/month-calendar/time-picker.tsx:70:7
forwardRef,4.455,4.455,../../packages/ui/src/dropdown-menu.tsx:111:3
Identifier: any,4.403,4.403,src/components/settings/settings.tsx:55:11
router,4.389,16.448,src/trpc/routers/polls/comments.ts:16:32
object,4.381,4.381,src/components/poll/voting-form.tsx:26:18
